species,survey_date,country,location,decimalLatitude,decimalLongitude,ref
acanthococcus ironsidei,2018,Hawaii,Panaewa,19.66059,-155.04945,collab
acanthococcus ironsidei,2018,Hawaii,Paauilo,20.05535,-155.39817,collab
acanthococcus ironsidei,2018,Hawaii,Honokaa,20.08718,-155.47611,collab
acanthococcus ironsidei,2023/03/29,Hawaii,Kapaau,20.22128,-155.76522,collab
acanthococcus ironsidei,2023/03/16,Hawaii,Captain Cook,19.4889833,-155.910125,collab
acanthococcus ironsidei,2023/03/16,Hawaii,Kurtistown,19.5929889,-155.0579611,collab
acanthococcus ironsidei,2015/05/12,Hawaii,Waimea,20.03716,-155.62179,collab
acanthococcus ironsidei,2023/05/12,Hawaii,Captain Cook,19.42681,-155.88027,collab
acanthococcus ironsidei,2023/05/12,Hawaii,Captain Cook,19.42681,-155.8868,collab
acanthococcus ironsidei,2022/06/03,South Africa,Alkmaar,-25.454188,30.825315,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Witrivier,-25.367798,31.057623,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Plaston,-25.368063,31.074825,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Brondal,-25.301272,30.949299,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Brondal,-25.301272,30.949299,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Nelspruit,-25.334195,30.832456,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Nelspruit,-25.334195,30.832456,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Plaston,-25.339207,31.071157,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Sterkspruit,-25.42598,30.891838,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Schagen,-25.645474,30.949842,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Barberton,-25.761513,30.947897,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Barberton,-25.425821,31.01096,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Nelspruit,-25.606986,30.835552,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Barberton,-25.761411,30.928021,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Barberton,-25.808053,30.999084,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Barberton,-25.762986,30.945998,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Barberton,-25.781647,30.969105,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Witrivier,-25.289223,31.05831,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Schagen,-25.42614,30.844686,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Schagen,-25.380922,30.762745,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Schagen,-25.439921,30.780256,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Low's creek,-25.645432,31.296912,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Schagen - Rivulets,-25.381986,30.573831,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Schoemanskloof,-25.431148,30.749436,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Witrivier,-25.2206891,31.0155188,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Whiteriver Fountains,-25.3051,31.031277,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Brondal,-25.317211,30.832148,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Alkmaar,-25.435679,30.829375,SAMAC
acanthococcus ironsidei,2022/06/03,South Africa,Alkmaar,-25.556922,31.51351,SAMAC
acanthococcus ironsidei,2022/01/03,South Africa,Wild Fig Country Estate,-25.4018333,30.7235,SAMAC
acanthococcus ironsidei,2022/01/03,South Africa,Wild Fig Country Estate,-25.2695,31.0371667,SAMAC
acanthococcus ironsidei,2022/01/03,South Africa,Wild Fig Country Estate,-25.2705,31.0371667,SAMAC
acanthococcus ironsidei,2022/01/03,South Africa,Wild Fig Country Estate,-25.4058333,30.7398333,SAMAC
acanthococcus ironsidei,2022/01/03,South Africa,Wild Fig Country Estate,-25.4058333,30.7398333,SAMAC
acanthococcus ironsidei,2021/06/29,South Africa,White River,-25.31324128,30.9596106,SAMAC
acanthococcus ironsidei,2021/06/29,South Africa,White River,-25.31274501,30.9588267,SAMAC
acanthococcus ironsidei,2021/06/18,South Africa,Barberton,-25.751961,31.024318,SAMAC
acanthococcus ironsidei,2021/06/08,South Africa,Mathibelana,-28.90197974,31.40920061,SAMAC
acanthococcus ironsidei,2021/04/14,South Africa,White River AH,-25.36948572,31.07768251,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,White River,-25.373935,31.065115,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,White River,-25.313927,30.996246,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,White River,-25.331616,30.992923,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,Barclay Vale,-25.333037,30.827069,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,Barclay Vale,-25.325892,30.830277,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,Alkmaar,-25.429513,30.828532,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,Barberton,-25.645474,30.949842,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,Selapi,-25.725086,30.860629,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,Barberton,-25.72851,30.941594,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,Selapi,-25.74656,30.957109,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,Selapi,-25.759743,30.911562,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,Selapi,-25.761411,30.928021,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,Selapi,-25.761759,30.927163,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,Selapi,-25.765782,30.927279,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,Selapi,-25.808053,30.999084,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,Barberton,-25.781647,30.969105,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,Barberton,-25.762986,30.945998,SAMAC
acanthococcus ironsidei,2021/01/28,South Africa,Barberton,-25.809914,31.006293,SAMAC
acanthococcus ironsidei,1969/07/01,Australia,"Queesnland, East",-26.1,153,GBIF
acanthococcus ironsidei,2015,Australia,"McLeod’s Shoot, NSW",-28.6588889,153.5511111,Alana Govender (email and online thesis)
acanthococcus ironsidei,2015,Australia,"McLeans Ridges, NSW",-28.7902778,153.4041667,Alana Govender (email and online thesis)
acanthococcus ironsidei,2013,NSW Australia,Alstonville,-28.8327167,153.435875,"Dr. Mohsen M. Ramadan, Entomologist, State of Hawaii Depart. Agric., location of native range survey"
acanthococcus ironsidei,,Australia,"1903 Sandy Creek Road, Downsfield",-26.0327611,152.7175083,Provided by Dr. Mohsen
acanthococcus ironsidei,,Australia,"Boggy Creek road, Valla road",-30.6221667,152.9644417,Provided by Dr. Mohsen
acanthococcus ironsidei,,Australia,"East west road, NSW",-30.5844722,152.9851111,Provided by Dr. Mohsen
acanthococcus ironsidei,,Australia,"Eurek, NSW",-28.6822278,153.4387611,Provided by Dr. Mohsen
acanthococcus ironsidei,,Australia,"Molly's grass road, Tregeagle",-28.8570417,153.3696361,Provided by Dr. Mohsen
acanthococcus ironsidei,,Australia,Rosebank road and Dorroughby rown,-28.6723167,153.3600944,Provided by Dr. Mohsen
acanthococcus ironsidei,,Australia,"375 Ellis road, Ballina",-28.8616389,153.41715,Provided by Dr. Mohsen
acanthococcus ironsidei,,Australia,Lindendale,-28.8273722,153.366175,Provided by Dr. Mohsen
acanthococcus ironsidei,,Australia,Dalwood and Victoria park road,-28.8938667,153.4089333,Provided by Dr. Mohsen
